Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
HR 95 EX 7829,no,0,Blue,31-05-2033,24-09-2027,HDFC ERGO,Honda,ACTIVE,04-07-2019,HR,2003,commercial,29-08-2028
SK 23 QX 8582,yes,2,Green,13-06-2024,15-10-2023,Bajaj Allianz,Honda,ACTIVE,04-04-2011,SK,2020,commercial,08-06-2024
GJ 80 OO 3551,yes,4,Green,13-02-2032,25-08-2030,New India Assurance,Maruti Suzuki,ACTIVE,30-03-2021,GJ,2017,commercial,13-11-2030
UK 98 RZ 2330,yes,4,Silver,08-01-2030,25-09-2025,Reliance General,Toyota,DEACTIVE,27-09-2010,UK,2019,personal,11-04-2028
GA 33 MU 8661,yes,8,White,23-03-2026,02-04-2025,United India Insurance,Maruti Suzuki,ACTIVE,14-03-2015,GA,2022,personal,24-02-2028
AP 13 BJ 2457,no,0,Silver,11-10-2030,31-03-2026,SBI General,Maruti Suzuki,ACTIVE,24-03-2018,AP,2001,personal,10-01-2024
HR 71 MG 1549,no,0,White,16-01-2025,22-11-2031,United India Insurance,Hyundai,ACTIVE,06-12-2014,HR,2011,personal,19-03-2033
ML 13 CJ 5054,yes,3,Red,30-10-2031,20-02-2031,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,19-04-2014,ML,2014,commercial,18-01-2032
GA 25 UE 1007,yes,3,Green,01-11-2031,02-10-2032,Bajaj Allianz,Hyundai,ACTIVE,10-05-2010,GA,2001,personal,08-09-2023
KA 74 CS 1282,yes,6,Red,02-04-2031,29-01-2026,United India Insurance,Maruti Suzuki,DEACTIVE,17-04-2016,KA,2016,commercial,22-07-2030
AR 78 FL 9843,no,0,Yellow,20-01-2026,04-11-2028,Oriental Insurance,Maruti Suzuki,DEACTIVE,26-06-2018,AR,2019,personal,27-04-2030
MH 39 JX 1988,no,0,Blue,03-02-2032,03-09-2032,ICICI LOMBARD,Hyundai,ACTIVE,04-01-2012,MH,2007,personal,03-12-2023
TN 90 YZ 4093,no,0,White,26-02-2032,27-10-2030,Bajaj Allianz,Toyota,ACTIVE,24-07-2021,TN,2018,personal,19-01-2029
MN 37 DB 5120,no,0,Red,09-12-2025,03-07-2029,United India Insurance,Honda,ACTIVE,13-11-2014,MN,2000,commercial,12-01-2032
PB 92 TZ 6615,no,0,Green,09-09-2032,02-06-2028,ICICI LOMBARD,Hyundai,DEACTIVE,14-08-2016,PB,2002,personal,23-09-2024
CG 40 QX 4727,yes,5,White,22-02-2029,18-01-2028,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,03-05-2016,CG,2022,personal,29-06-2033
NL 46 GN 7545,no,0,Red,28-04-2032,22-06-2025,New India Assurance,Maruti Suzuki,ACTIVE,21-11-2020,NL,2007,commercial,21-11-2027
UP 58 ZB 6963,no,0,Green,12-03-2029,04-11-2024,HDFC ERGO,Honda,DEACTIVE,30-07-2014,UP,2022,personal,28-05-2027
JH 90 DR 2431,no,0,Red,08-01-2030,11-05-2028,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,05-08-2020,JH,2018,commercial,28-01-2028
RJ 27 KG 8233,no,0,Green,10-12-2026,10-10-2030,Bajaj Allianz,Toyota,ACTIVE,06-02-2016,RJ,2007,commercial,24-04-2033
TS 38 ND 7726,no,0,Green,02-02-2025,25-03-2031,Tata AIG,Tata Motors,ACTIVE,31-01-2022,TS,2016,commercial,27-05-2030
MH 57 HW 3970,yes,4,White,01-11-2024,21-12-2026,HDFC ERGO,Hyundai,ACTIVE,05-06-2019,MH,2001,personal,07-07-2026
RJ 90 RJ 8084,yes,10,Red,10-09-2029,21-08-2025,HDFC ERGO,Tata Motors,DEACTIVE,23-10-2013,RJ,2003,commercial,07-08-2032
TR 55 KW 7760,yes,3,Red,15-06-2030,26-11-2028,ICICI LOMBARD,Maruti Suzuki,ACTIVE,09-02-2023,TR,2000,commercial,23-02-2025
JK 93 TQ 3020,no,0,Black,04-07-2026,28-03-2024,Future Generali,Toyota,ACTIVE,25-07-2016,JK,2016,personal,18-12-2030
GA 39 YG 7674,yes,8,Black,05-09-2028,16-06-2024,Oriental Insurance,Maruti Suzuki,ACTIVE,08-03-2016,GA,2013,commercial,29-08-2029
HR 13 NA 1733,no,0,White,30-05-2031,22-12-2023,Future Generali,HERO MOTOCORP LTD,ACTIVE,04-09-2018,HR,2023,personal,07-03-2031
AR 55 LU 8857,no,0,Red,01-06-2033,26-10-2032,SBI General,Maruti Suzuki,DEACTIVE,07-12-2012,AR,2005,commercial,21-07-2033
KA 38 IT 5352,no,0,Black,07-05-2024,07-03-2032,Tata AIG,Tata Motors,ACTIVE,05-05-2015,KA,2000,personal,22-07-2030
GJ 95 UL 2514,no,0,Red,08-08-2024,21-02-2032,Bajaj Allianz,Tata Motors,DEACTIVE,15-12-2022,GJ,2007,personal,15-08-2028
PB 66 DQ 5820,no,0,Silver,28-08-2030,04-07-2025,New India Assurance,Toyota,DEACTIVE,05-09-2017,PB,2014,commercial,21-01-2029
JK 89 UK 4800,no,0,Red,29-12-2025,14-09-2032,Oriental Insurance,Toyota,ACTIVE,13-04-2018,JK,2022,personal,29-09-2031
ML 87 QG 3159,no,0,Blue,15-12-2028,13-04-2029,United India Insurance,Toyota,ACTIVE,28-10-2019,ML,2009,commercial,05-01-2032
OD 12 IN 7552,yes,7,Green,11-12-2026,29-08-2023,Future Generali,Honda,DEACTIVE,08-05-2023,OD,2001,personal,19-05-2026
HR 39 UV 8295,yes,6,Black,14-05-2031,29-01-2031,Oriental Insurance,Hyundai,DEACTIVE,06-07-2013,HR,2017,commercial,15-04-2032
MH 41 VV 7223,yes,3,Red,18-07-2026,02-10-2027,United India Insurance,Toyota,DEACTIVE,05-05-2010,MH,2008,commercial,26-06-2031
MZ 43 PS 5993,yes,7,Blue,05-01-2027,10-10-2024,Bajaj Allianz,Tata Motors,DEACTIVE,09-06-2015,MZ,2002,personal,15-11-2031
MH 57 CN 1277,no,0,Yellow,01-09-2031,18-06-2030,Oriental Insurance,Toyota,DEACTIVE,27-07-2010,MH,2014,commercial,25-03-2026
TR 12 BJ 7667,no,0,Green,20-04-2029,08-06-2029,Future Generali,Toyota,ACTIVE,03-07-2021,TR,2023,personal,15-12-2030
KL 46 FH 7748,yes,2,White,09-01-2025,11-09-2030,United India Insurance,Maruti Suzuki,DEACTIVE,16-02-2014,KL,2010,commercial,08-06-2024
HP 36 KJ 1128,yes,4,Blue,21-08-2025,27-09-2028,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,04-05-2010,HP,2006,commercial,13-09-2028
GJ 17 AH 1583,no,0,Yellow,25-09-2028,29-03-2031,United India Insurance,Honda,ACTIVE,05-10-2013,GJ,2006,personal,22-10-2028
JH 73 PJ 2051,no,0,Blue,07-07-2024,19-04-2029,Tata AIG,Hyundai,DEACTIVE,06-05-2010,JH,2020,commercial,25-03-2028
GJ 92 GW 3278,no,0,Green,18-07-2027,26-03-2031,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,13-12-2019,GJ,2009,personal,10-08-2025
UP 72 JX 1785,no,0,Red,15-07-2033,05-04-2033,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,11-02-2021,UP,2012,commercial,24-05-2027
MZ 79 HV 6453,yes,5,Silver,18-11-2032,21-05-2026,Reliance General,HERO MOTOCORP LTD,ACTIVE,15-09-2016,MZ,2019,commercial,20-05-2033
OD 27 RR 7179,no,0,Silver,25-01-2031,29-11-2025,Bajaj Allianz,Hyundai,DEACTIVE,01-11-2019,OD,2021,personal,31-07-2027
TS 35 NL 8859,no,0,Yellow,17-07-2027,20-01-2025,Reliance General,Honda,DEACTIVE,12-11-2015,TS,2023,personal,17-12-2027
AS 65 JY 4279,yes,10,Green,25-03-2033,09-04-2027,United India Insurance,Maruti Suzuki,ACTIVE,22-10-2017,AS,2020,personal,03-06-2031
MZ 16 EH 8013,yes,5,Yellow,11-09-2023,10-01-2029,Tata AIG,Toyota,ACTIVE,06-01-2010,MZ,2003,personal,22-05-2025
NL 78 HF 7623,no,0,Red,16-04-2033,19-07-2025,United India Insurance,Toyota,DEACTIVE,12-10-2021,NL,2005,commercial,20-08-2028
TN 39 PE 8793,no,0,Silver,17-02-2029,15-10-2029,Reliance General,Maruti Suzuki,DEACTIVE,05-08-2022,TN,2020,commercial,05-01-2029
GA 34 TQ 2136,no,0,Green,13-01-2027,12-09-2028,ICICI LOMBARD,Tata Motors,ACTIVE,05-01-2018,GA,2005,commercial,07-02-2033
NL 55 LQ 4435,no,0,Yellow,07-04-2027,18-05-2028,New India Assurance,Toyota,ACTIVE,27-02-2020,NL,2017,commercial,14-04-2029
RJ 48 XY 3560,yes,3,Red,19-08-2024,18-05-2033,United India Insurance,Hyundai,DEACTIVE,21-08-2016,RJ,2007,personal,14-12-2026
TR 17 HU 9304,yes,9,Green,07-04-2033,23-12-2030,Oriental Insurance,Hyundai,DEACTIVE,10-01-2010,TR,2007,personal,19-12-2027
AR 16 AZ 8876,no,0,Blue,08-08-2028,16-05-2024,Bajaj Allianz,Hyundai,DEACTIVE,08-09-2014,AR,2001,personal,27-03-2026
UP 22 BV 1871,yes,10,Yellow,20-03-2027,23-09-2024,Reliance General,Maruti Suzuki,ACTIVE,05-02-2016,UP,2010,commercial,07-07-2029
AS 58 TP 6848,yes,10,Black,31-01-2025,02-09-2028,New India Assurance,Hyundai,ACTIVE,08-06-2010,AS,2013,commercial,19-03-2030
JK 75 BB 7364,no,0,Yellow,12-01-2031,06-03-2027,SBI General,Maruti Suzuki,ACTIVE,05-11-2013,JK,2004,personal,26-10-2031
NL 22 SM 5566,yes,1,Blue,30-11-2025,30-04-2031,Tata AIG,Honda,DEACTIVE,01-06-2015,NL,2005,personal,10-07-2025
GA 38 RK 9637,yes,1,Red,20-02-2024,15-11-2032,New India Assurance,Toyota,DEACTIVE,02-01-2019,GA,2002,commercial,03-07-2025
SK 41 IQ 6933,yes,5,Black,17-10-2025,17-01-2028,United India Insurance,HERO MOTOCORP LTD,ACTIVE,20-11-2012,SK,2008,commercial,15-08-2031
TN 49 EX 2080,no,0,Yellow,28-04-2031,23-05-2028,ICICI LOMBARD,Maruti Suzuki,ACTIVE,11-03-2014,TN,2000,personal,20-07-2027
MZ 61 KH 6130,no,0,Green,05-07-2027,14-03-2028,Future Generali,Honda,DEACTIVE,26-12-2013,MZ,2009,commercial,25-08-2024
UK 17 LM 6700,yes,1,Green,29-07-2027,10-06-2024,Oriental Insurance,Maruti Suzuki,DEACTIVE,21-04-2022,UK,2016,personal,09-10-2025
TN 36 QA 1048,yes,1,Black,16-03-2025,27-02-2032,New India Assurance,Hyundai,DEACTIVE,08-08-2016,TN,2018,personal,19-07-2025
WB 88 UJ 4808,yes,10,Silver,27-02-2028,08-07-2024,Tata AIG,Honda,DEACTIVE,15-04-2016,WB,2004,personal,03-09-2023
MH 17 PA 1092,no,0,Black,24-10-2031,23-06-2033,Reliance General,Tata Motors,ACTIVE,20-09-2018,MH,2011,personal,08-03-2025
UK 61 NW 7211,no,0,Blue,26-03-2027,24-12-2032,Tata AIG,Maruti Suzuki,ACTIVE,05-01-2011,UK,2003,commercial,08-10-2025
TS 12 SR 7424,no,0,Blue,21-05-2028,02-08-2032,Oriental Insurance,Toyota,DEACTIVE,17-03-2016,TS,2001,commercial,16-08-2027
CG 71 TW 3423,yes,2,Green,03-12-2027,09-04-2032,SBI General,Hyundai,DEACTIVE,04-10-2010,CG,2014,personal,13-06-2026
CG 18 AJ 7765,yes,7,White,28-05-2028,29-01-2024,New India Assurance,Hyundai,DEACTIVE,15-05-2020,CG,2003,commercial,30-12-2027
MN 74 TS 6253,no,0,White,15-10-2029,26-05-2028,HDFC ERGO,Toyota,DEACTIVE,11-12-2013,MN,2006,commercial,16-06-2032
AP 21 IR 5322,no,0,White,24-07-2025,06-04-2025,ICICI LOMBARD,Tata Motors,DEACTIVE,05-08-2020,AP,2000,commercial,16-07-2032
CG 27 XT 9698,yes,3,Blue,06-05-2024,03-10-2031,Tata AIG,Honda,ACTIVE,07-06-2021,CG,2022,commercial,30-11-2028
MP 99 UT 1170,yes,3,Red,06-07-2029,09-01-2033,Tata AIG,Toyota,DEACTIVE,21-01-2023,MP,2002,personal,04-05-2032
NL 97 CQ 8369,yes,7,Silver,26-07-2029,12-12-2025,United India Insurance,Tata Motors,ACTIVE,05-07-2018,NL,2016,commercial,08-05-2033
UP 10 YU 1554,no,0,Blue,29-10-2030,30-04-2031,Future Generali,Toyota,ACTIVE,18-12-2020,UP,2021,personal,27-10-2026
TN 34 PV 4911,yes,9,Green,21-06-2033,26-06-2027,Reliance General,Honda,DEACTIVE,09-11-2018,TN,2013,commercial,07-06-2027
TR 96 QA 4530,no,0,Black,21-08-2023,10-07-2029,SBI General,HERO MOTOCORP LTD,DEACTIVE,26-10-2013,TR,2021,personal,11-10-2025
OD 98 FX 5604,yes,2,White,22-07-2033,26-06-2032,Future Generali,HERO MOTOCORP LTD,ACTIVE,09-06-2011,OD,2021,personal,23-06-2030
TR 70 GO 6964,yes,9,White,03-07-2030,24-03-2026,New India Assurance,Maruti Suzuki,DEACTIVE,20-07-2015,TR,2004,personal,30-07-2025
OD 83 IM 3679,yes,8,Red,16-06-2025,27-03-2026,New India Assurance,Toyota,ACTIVE,10-11-2011,OD,2018,personal,22-04-2032
TN 60 ZU 9841,yes,7,Yellow,16-06-2027,12-11-2023,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,31-12-2015,TN,2006,commercial,09-08-2028
JK 97 GW 1497,yes,4,Red,14-08-2026,23-04-2033,HDFC ERGO,Hyundai,DEACTIVE,01-11-2018,JK,2019,personal,17-02-2025
KL 82 LD 2778,yes,10,White,28-07-2024,31-03-2025,Tata AIG,Maruti Suzuki,ACTIVE,10-10-2021,KL,2010,personal,20-09-2027
UP 54 FI 4912,yes,2,Green,17-09-2028,29-12-2031,Oriental Insurance,Toyota,DEACTIVE,18-08-2014,UP,2007,personal,10-11-2026
GA 66 XO 8626,no,0,Black,30-05-2028,13-04-2027,United India Insurance,HERO MOTOCORP LTD,ACTIVE,04-04-2022,GA,2016,personal,12-10-2030
PB 11 PR 7623,no,0,Blue,06-04-2027,28-05-2027,Reliance General,HERO MOTOCORP LTD,ACTIVE,26-09-2010,PB,2008,personal,01-12-2026
CG 59 CM 5227,yes,6,Green,26-11-2029,09-02-2033,HDFC ERGO,Honda,ACTIVE,29-04-2010,CG,2008,commercial,01-09-2028
CG 26 OO 9944,yes,1,White,13-08-2032,09-09-2032,HDFC ERGO,Tata Motors,ACTIVE,23-01-2012,CG,2004,personal,13-09-2025
GA 69 ZX 8195,no,0,Silver,18-11-2031,13-02-2024,New India Assurance,Hyundai,ACTIVE,12-08-2015,GA,2002,personal,07-01-2027
CG 10 EZ 4549,no,0,Yellow,27-01-2032,20-03-2026,Reliance General,Tata Motors,DEACTIVE,03-02-2010,CG,2002,personal,08-12-2028
WB 83 EV 6244,no,0,Green,31-03-2029,02-10-2024,Bajaj Allianz,Hyundai,ACTIVE,17-03-2018,WB,2007,personal,27-06-2031
GA 20 PM 3158,no,0,Black,09-08-2027,25-10-2025,Reliance General,Maruti Suzuki,DEACTIVE,15-10-2017,GA,2008,personal,21-08-2028
TR 91 LI 2518,yes,4,Yellow,05-12-2027,31-10-2029,Reliance General,Hyundai,DEACTIVE,26-09-2018,TR,2021,commercial,18-09-2029
MP 80 PE 4558,no,0,Silver,31-03-2027,22-03-2024,New India Assurance,Toyota,ACTIVE,26-10-2019,MP,2017,commercial,10-12-2026
AP 11 PI 7302,no,0,Green,10-06-2031,01-11-2030,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,01-04-2010,AP,2017,personal,23-05-2030
RJ 38 DS 2609,no,0,White,28-04-2027,10-01-2028,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,25-12-2014,RJ,2003,commercial,31-08-2028
UP 78 BA 5299,no,0,Yellow,28-02-2026,24-03-2027,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,23-02-2011,UP,2004,commercial,04-08-2032
OD 41 FK 2825,no,0,White,23-10-2025,04-09-2027,Tata AIG,Maruti Suzuki,ACTIVE,24-09-2011,OD,2023,commercial,30-03-2032
SK 92 NS 5740,no,0,Yellow,26-11-2026,23-08-2028,Future Generali,Maruti Suzuki,DEACTIVE,22-07-2019,SK,2015,personal,13-01-2024
RJ 39 IH 2362,no,0,Silver,12-08-2027,26-06-2025,Future Generali,Toyota,DEACTIVE,11-10-2012,RJ,2017,commercial,19-04-2025
MH 92 BH 3267,no,0,Red,12-03-2028,24-02-2028,Bajaj Allianz,Maruti Suzuki,ACTIVE,23-08-2018,MH,2002,personal,04-10-2031
AR 55 VB 4301,yes,2,Red,25-12-2026,29-12-2025,Bajaj Allianz,Toyota,ACTIVE,11-09-2022,AR,2000,commercial,27-03-2032
MN 17 VJ 2616,no,0,Red,26-06-2026,01-04-2030,HDFC ERGO,Hyundai,DEACTIVE,07-01-2023,MN,2017,personal,31-03-2029
MN 47 VL 4861,yes,3,White,17-10-2025,02-09-2030,Oriental Insurance,Maruti Suzuki,DEACTIVE,27-11-2010,MN,2011,personal,11-12-2024
NL 48 ML 6923,no,0,Blue,17-03-2031,26-05-2027,Future Generali,Honda,ACTIVE,13-09-2020,NL,2005,personal,10-12-2023
MH 28 DQ 2681,yes,3,Blue,16-07-2033,02-05-2029,Reliance General,Tata Motors,ACTIVE,22-10-2016,MH,2017,personal,16-10-2024
RJ 47 UQ 2041,no,0,Silver,15-03-2025,17-06-2024,SBI General,Tata Motors,DEACTIVE,19-05-2015,RJ,2009,commercial,28-10-2031
RJ 12 JL 9275,no,0,White,16-02-2027,14-08-2029,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,06-12-2012,RJ,2004,commercial,28-08-2032
JK 69 TG 9165,no,0,Green,17-11-2032,12-03-2026,Future Generali,HERO MOTOCORP LTD,ACTIVE,27-04-2017,JK,2002,personal,29-09-2028
UK 46 IW 3679,no,0,Silver,18-07-2024,26-07-2025,ICICI LOMBARD,Maruti Suzuki,ACTIVE,22-07-2012,UK,2007,commercial,14-10-2030
OD 32 RB 5741,yes,10,Black,29-09-2029,01-12-2029,Oriental Insurance,Honda,ACTIVE,23-08-2010,OD,2016,personal,19-02-2025
AS 36 PN 6542,no,0,Red,14-03-2026,30-08-2025,SBI General,Hyundai,ACTIVE,30-11-2022,AS,2021,commercial,22-11-2024
JK 34 YB 8891,yes,3,Red,04-10-2029,22-03-2026,Future Generali,Tata Motors,ACTIVE,26-09-2016,JK,2002,commercial,20-08-2027
OD 33 KA 3096,no,0,Green,15-03-2033,23-12-2030,ICICI LOMBARD,Toyota,DEACTIVE,25-04-2021,OD,2009,personal,19-08-2024
OD 56 BR 8764,no,0,White,14-07-2027,19-11-2027,Reliance General,HERO MOTOCORP LTD,ACTIVE,04-11-2022,OD,2009,commercial,27-04-2031
AP 10 IQ 3610,yes,8,Yellow,06-02-2030,01-05-2028,Tata AIG,Toyota,DEACTIVE,27-10-2014,AP,2001,personal,30-04-2026
UP 95 XP 2472,yes,8,Green,22-07-2027,17-06-2033,Future Generali,Honda,ACTIVE,24-12-2018,UP,2013,commercial,29-04-2032
JH 91 PF 4678,yes,6,Red,19-05-2030,07-05-2029,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,13-12-2010,JH,2008,personal,30-03-2033
NL 84 HI 9810,yes,2,Black,02-02-2024,27-03-2032,HDFC ERGO,Honda,DEACTIVE,12-03-2012,NL,2009,personal,29-01-2028
AS 77 EV 9676,no,0,Black,30-10-2023,29-03-2027,Bajaj Allianz,Toyota,DEACTIVE,04-01-2015,AS,2017,commercial,01-11-2031
KL 32 VM 6162,yes,1,Black,21-06-2028,03-10-2028,HDFC ERGO,Hyundai,DEACTIVE,20-01-2011,KL,2000,personal,26-01-2030
TN 27 YM 3668,yes,10,Yellow,15-06-2030,23-11-2025,Oriental Insurance,Honda,ACTIVE,08-12-2019,TN,2014,personal,22-04-2031
SK 86 ZP 2777,yes,6,Red,08-01-2028,15-07-2030,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,18-07-2021,SK,2006,personal,02-01-2024
TS 83 BH 1404,no,0,Blue,17-02-2024,15-10-2023,ICICI LOMBARD,Maruti Suzuki,ACTIVE,10-07-2016,TS,2011,personal,01-03-2024
TR 90 MG 5084,yes,1,Silver,28-08-2032,22-03-2032,SBI General,Tata Motors,DEACTIVE,14-09-2021,TR,2001,commercial,23-12-2025
KL 54 EY 7355,yes,5,White,11-11-2026,23-07-2033,New India Assurance,Toyota,DEACTIVE,10-03-2015,KL,2002,personal,17-03-2028
WB 51 DO 6600,no,0,Green,17-03-2033,20-08-2028,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,04-12-2012,WB,2019,personal,01-12-2028
AR 61 NJ 6325,yes,10,Blue,04-03-2029,27-11-2031,United India Insurance,Honda,DEACTIVE,18-10-2022,AR,2008,commercial,03-03-2030
RJ 98 QE 3683,no,0,Green,29-04-2032,28-01-2033,Bajaj Allianz,Toyota,DEACTIVE,23-10-2022,RJ,2007,commercial,26-11-2024
NL 13 XU 3884,yes,1,Green,12-08-2031,19-06-2031,Oriental Insurance,Honda,ACTIVE,22-08-2021,NL,2007,personal,07-01-2024
TR 44 OE 8157,yes,10,Black,18-11-2027,19-07-2024,Reliance General,HERO MOTOCORP LTD,ACTIVE,31-01-2015,TR,2003,commercial,26-09-2028
CG 31 EU 6607,yes,9,Black,08-06-2025,23-07-2024,HDFC ERGO,Maruti Suzuki,ACTIVE,07-07-2018,CG,2018,commercial,14-08-2029
BR 82 XO 5024,yes,6,Red,28-12-2026,19-02-2030,ICICI LOMBARD,Hyundai,ACTIVE,09-01-2012,BR,2006,personal,01-06-2030
MN 98 QW 4083,yes,7,Green,09-07-2030,30-12-2023,Oriental Insurance,Toyota,ACTIVE,01-02-2019,MN,2011,personal,29-12-2030
NL 17 KW 7927,yes,3,Blue,02-09-2028,26-11-2025,HDFC ERGO,Honda,ACTIVE,10-08-2017,NL,2015,personal,03-09-2023
ML 77 WA 9238,no,0,Black,16-11-2026,03-05-2032,Oriental Insurance,Hyundai,DEACTIVE,22-08-2010,ML,2000,commercial,20-03-2031
GJ 35 YL 1560,yes,5,White,07-10-2025,12-03-2026,Future Generali,Tata Motors,DEACTIVE,04-10-2012,GJ,2001,personal,22-04-2024
AS 66 TC 2005,no,0,Silver,07-10-2023,12-10-2025,United India Insurance,Hyundai,ACTIVE,19-09-2014,AS,2004,personal,29-08-2030
NL 18 AR 3701,yes,4,Black,24-04-2031,02-09-2030,SBI General,Tata Motors,DEACTIVE,21-08-2015,NL,2008,personal,19-08-2027
ML 10 CK 7422,yes,6,Black,20-07-2025,13-06-2030,New India Assurance,Hyundai,ACTIVE,30-12-2020,ML,2002,commercial,27-03-2026
NL 62 ST 3385,yes,10,Green,20-04-2025,07-12-2030,HDFC ERGO,Honda,DEACTIVE,18-05-2014,NL,2004,commercial,23-10-2023
TR 46 XV 2071,yes,10,Yellow,06-04-2030,01-11-2031,SBI General,Tata Motors,ACTIVE,23-09-2011,TR,2014,commercial,05-12-2026
MZ 14 DL 3933,no,0,Silver,13-07-2032,21-05-2031,Tata AIG,Hyundai,DEACTIVE,21-06-2020,MZ,2023,personal,20-11-2031
MZ 53 RL 6689,no,0,Red,04-11-2024,18-09-2031,United India Insurance,Maruti Suzuki,DEACTIVE,18-10-2017,MZ,2005,personal,02-09-2030
TS 63 KK 4936,yes,6,Black,24-06-2031,15-08-2025,Tata AIG,Tata Motors,ACTIVE,05-09-2013,TS,2023,personal,17-06-2031
AR 61 XO 1390,yes,2,Yellow,02-12-2025,24-02-2030,HDFC ERGO,Toyota,DEACTIVE,07-09-2021,AR,2000,personal,09-12-2032
GA 11 HO 9579,yes,7,Red,29-03-2029,20-12-2032,Reliance General,Tata Motors,DEACTIVE,22-04-2022,GA,2019,commercial,26-11-2026
NL 56 OV 5343,no,0,White,14-11-2028,05-11-2025,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,04-07-2018,NL,2017,commercial,26-01-2030
NL 86 ZJ 8926,yes,6,Blue,08-05-2024,07-04-2030,Future Generali,Tata Motors,DEACTIVE,28-01-2020,NL,2004,personal,27-07-2026
KA 56 GY 2007,no,0,Black,13-07-2032,23-03-2029,United India Insurance,Hyundai,ACTIVE,12-05-2021,KA,2007,personal,22-09-2025
